decil_probabilidad;marca_bueno_evidente;clientes;respuesta;tasa_buenos;distribucion;lift;saldo_total;sum_pagos_3m_total;sum_pagos_1m_total;sum_pagos_2m_total; sum_pagos_3m_acum ; sum_pagos_1m_acum ; sum_pagos_2m_acum ;tasa_recu_3m_acum;tasa_recu_1m_acum;tasa_recu_2m_acum;buenos_acumulados;psi;ks;roc;fecha;segmento
4;0;3704;508;0,137149028;0,087307012;0,483790431;7422334046;372000352;145977359;285894087; 2.696.047.089 ; 1.013.099.896 ; 1.951.489.735 ;0,058832943;0,022107792;0,042585267;0,707325185;1,608604071;0,19284246;0,625305297;202503;2_Alto_p2
4;1;558;485;0,869175627;0,013152622;3,0659995;1329377959;268957592;102340711;195598254;2965004681;1115440607;2147087989;0,062878049;0,023654846;0,045532712;0,665086888;1,608604071;0,19284246;0,625305297;202503;2_Alto_p2
5;0;3636;559;0,153740374;0,085704184;0,54231607;6987816490;410007804;172620774;316331196; 3.375.012.485 ; 1.288.061.381 ; 2.463.419.185 ;0,062335548;0,023790138;0,045498672;0,624760955;1,608604071;0,19284246;0,625305297;202503;2_Alto_p2
5;1;611;513;0,839607201;0,014401886;2,961697474;1406819016;273772217;120200803;206143694;3648784702;1408262184;2669562879;0,065685307;0,025351491;0,048057387;0,578282198;1,608604071;0,19284246;0,625305297;202503;2_Alto_p2
6;0;3543;639;0,180355631;0,08351208;0,636200851;6773742301;480804880;188156305;359930642; 4.129.589.582 ; 1.596.418.489 ; 3.029.493.521 ;0,066260848;0,025615147;0,048609385;0,53562817;1,608604071;0,19284246;0,625305297;202503;2_Alto_p2
6;1;694;587;0,845821326;0,016358279;2,983617672;1651276788;335948305;136661533;249881224;4465537887;1733080022;3279374745;0,069801841;0,027090169;0,051260655;0,482497713;1,608604071;0,19284246;0,625305297;202503;2_Alto_p2
7;0;3451;727;0,210663576;0,081343547;0,743111516;6253309596;511848873;221410054;390451176; 4.977.386.760 ; 1.954.490.076 ; 3.669.825.921 ;0,070874869;0,027830714;0,052256022;0,433690862;1,608604071;0,19284246;0,625305297;202503;2_Alto_p2
7;1;775;672;0,867096774;0,018267531;3,058666388;1757697384;376470839;157591740;279000283;5353857599;2112081816;3948826204;0,074374104;0,029340376;0,054855851;0,373243535;1,608604071;0,19284246;0,625305297;202503;2_Alto_p2
8;0;3347;943;0,281744846;0,078892163;0,993849264;5852538412;678495324;324904190;541998113; 6.032.352.923 ; 2.436.986.006 ; 4.490.824.317 ;0,077498772;0,031308417;0,057694464;0,317369253;1,608604071;0,19284246;0,625305297;202503;2_Alto_p2
8;1;867;735;0,847750865;0,020436064;2,990424083;2021581757;457303742;206686478;351365660;6489656665;2643672484;4842189977;0,081263298;0,033103992;0,060633767;0,238962335;1,608604071;0,19284246;0,625305297;202503;2_Alto_p2
9;0;3099;1197;0,38625363;0,073046553;1,362501893;5468090486;817215532;414286349;674686741; 7.306.872.197 ; 3.057.958.833 ; 5.516.876.718 ;0,085633044;0,035837814;0,064655154;0,177849838;1,608604071;0,19284246;0,625305297;202503;2_Alto_p2
9;1;1086;942;0,867403315;0,025598114;3,059747704;2416095775;575515850;277140740;466015437;7882388047;3335099573;5982892155;0,089834118;0,038009513;0,068185915;0,078323772;1,608604071;0,19284246;0,625305297;202503;2_Alto_p2
0;0;2533;189;0,074615081;0,090925407;0,247839147;48855428493;811995921;300148875;515317393; 811.995.921 ; 300.148.875 ; 515.317.393 ;0,016620383;0,006143614;0,010547802;1;1,404730194;0,22680017;0,654794735;202503;4_Medio_p2
0;1;255;194;0,760784314;0,009153565;2,526997664;4034353960;163112782;57843389;110837440;975108703;357992264;626154833;0,018436618;0,006768647;0,011838862;0,977465125;1,404730194;0,22680017;0,654794735;202503;4_Medio_p2
1;0;2397;202;0,084272007;0,086043506;0,279915293;44166711026;657609293;225606679;465327551; 1.632.717.996 ; 583.598.943 ; 1.091.482.384 ;0,016822347;0,006012982;0,011245846;0,954334088;1,404730194;0,22680017;0,654794735;202503;4_Medio_p2
1;1;392;324;0,826530612;0,014071362;2,745378538;5063714763;325042388;99867370;236412322;1957760384;683466313;1327894706;0,019171136;0,006692763;0,013003251;0,930249195;1,404730194;0,22680017;0,654794735;202503;4_Medio_p2
2;0;2378;267;0,112279226;0,085361476;0,372943208;41612884015;851814436;288962121;642585386; 2.809.574.820 ; 972.428.434 ; 1.970.480.092 ;0,019547167;0,006765515;0,0137093;0,89161798;1,404730194;0,22680017;0,654794735;202503;4_Medio_p2
2;1;407;343;0,842751843;0,014609807;2,799258476;5732039980;379441808;147358545;273247617;3189016628;1119786979;2243727709;0,021336191;0,007491961;0,015011713;0,859782997;1,404730194;0,22680017;0,654794735;202503;4_Medio_p2
3;0;2344;259;0,110494881;0,084141001;0,36701638;43124019710;1017965721;343429922;698029567; 4.206.982.349 ; 1.463.216.901 ; 2.941.757.276 ;0,021844337;0,007597608;0,015274782;0,818886372;1,404730194;0,22680017;0,654794735;202503;4_Medio_p2
3;1;441;380;0,861678005;0,015830282;2,86212303;5723261278;470760625;184728675;345182925;4677742974;1647945576;3286940201;0,023587747;0,008309846;0,016574556;0,788005246;1,404730194;0,22680017;0,654794735;202503;4_Medio_p2
4;0;2291;286;0,124836316;0,082238495;0,414652449;41069637412;865647327;360761091;554609550; 5.543.390.301 ; 2.008.706.667 ; 3.841.549.751 ;0,023157084;0,008391217;0,016047777;0,742697031;1,404730194;0,22680017;0,654794735;202503;4_Medio_p2
4;1;491;420;0,855397149;0,017625099;2,841260733;6435513886;574081316;209470792;423210655;6117471617;2218177459;4264760406;0,024886227;0,009023674;0,017349291;0,708596638;1,404730194;0,22680017;0,654794735;202503;4_Medio_p2
5;0;2215;360;0,162528217;0,079510374;0,539848702;42452937495;1377664275;547621160;928334990; 7.495.135.892 ; 2.765.798.619 ; 5.193.095.396 ;0,026000357;0,009594456;0,018014661;0,658519137;1,404730194;0,22680017;0,654794735;202503;4_Medio_p2
5;1;570;503;0,88245614;0,020460909;2,931139044;8347910689;769287439;314351923;577879270;8264423331;3080150542;5770974666;0,027862139;0,010384219;0,019455888;0,615595565;1,404730194;0,22680017;0,654794735;202503;4_Medio_p2
6;0;2151;404;0,187819619;0,077213009;0,623855841;42970935809;1271404769;547267290;1021191539; 9.535.828.100 ; 3.627.417.832 ; 6.792.166.205 ;0,028080469;0,010681777;0,020001117;0,555621796;1,404730194;0,22680017;0,654794735;202503;4_Medio_p2
6;1;633;532;0,840442338;0,022722378;2,791587296;8953801809;708596858;262020320;493233388;10244424958;3889438152;7285399593;0,029392128;0,01115913;0,020902432;0,507452009;1,404730194;0,22680017;0,654794735;202503;4_Medio_p2
7;0;2068;431;0,208413926;0,074233613;0,692261257;49208921929;1683782108;707871506;1249124951; 11.928.207.066 ; 4.597.309.658 ; 8.534.524.544 ;0,029989051;0,011558229;0,021456895;0,444020508;1,404730194;0,22680017;0,654794735;202503;4_Medio_p2
7;1;718;598;0,832869081;0,025773566;2,766432199;11094558132;867117719;324400748;633927026;12795324785;4921710406;9168451570;0,031296148;0,012038036;0,022425161;0,392631453;1,404730194;0,22680017;0,654794735;202503;4_Medio_p2
8;0;1973;510;0,25848961;0,070823462;0,858591099;46891060719;1697402964;727394834;1228291878; 14.492.727.749 ; 5.649.105.240 ; 10.396.743.448 ;0,031800591;0,012395519;0,022812999;0,321330631;1,404730194;0,22680017;0,654794735;202503;4_Medio_p2
8;1;815;683;0,83803681;0,02925551;2,783597168;12651261083;1111842077;443225246;803135646;15604569826;6092330486;11199879094;0,03331541;0,01300699;0,023911493;0,260522237;1,404730194;0,22680017;0,654794735;202503;4_Medio_p2
9;0;1879;722;0,38424694;0,067449207;1,27630276;48842616208;2947332681;1144423421;2264724295; 18.551.902.507 ; 7.236.753.907 ; 13.464.603.389 ;0,035867692;0,013991323;0,02603206;0,179086682;1,404730194;0,22680017;0,654794735;202503;4_Medio_p2
9;1;907;780;0,859977949;0,032557973;2,856476179;14468492174;1393271947;525129403;1050442310;19945174454;7761883310;14515045699;0,037512079;0,014598237;0,027299312;0,093001073;1,404730194;0,22680017;0,654794735;202503;4_Medio_p2
0;0;784;18;0,022959184;0,097379208;0,082372722;21896524569;78093636;26176544;66691882; 78.093.636 ; 26.176.544 ; 66.691.882 ;0,003566485;0,001195466;0,003045775;1;1,669470493;0,38692415;0,743793986;202503;6_Bajo_p2
0;1;23;14;0,608695652;0,002856788;2,183871968;1021266073;38755309;25358898;31561788;116848945;51535442;98253670;0,005098613;0,002248709;0,004287223;0,99197861;1,669470493;0,38692415;0,743793986;202503;6_Bajo_p2
1;0;771;30;0,038910506;0,095764501;0,139602711;14445981998;211602914;52193045;141357757; 328.451.859 ; 103.728.487 ; 239.611.427 ;0,00879065;0,002776178;0,006412935;0,98573975;1,669470493;0,38692415;0,743793986;202503;6_Bajo_p2
1;1;35;28;0,8;0,004347286;2,870231729;862657625;50205326;20622577;37559839;378657185;124351064;277171266;0,009905638;0,003253013;0,007250776;0,972370766;1,669470493;0,38692415;0,743793986;202503;6_Bajo_p2
2;0;757;42;0,055482166;0,094025587;0,199058343;14018256500;111979574;51386047;73152829; 490.636.759 ; 175.737.111 ; 350.324.095 ;0,009391132;0,003363732;0,006705449;0,959893048;1,669470493;0,38692415;0,743793986;202503;6_Bajo_p2
